index,target
3135,1 2 12
4655,12
22118,35
23511,0
45,
19006,
23989,2 3 4
21464,2 12
20344,20
26679,0
11295,0 12
1007,27
23199,3
23424,0
3313,0 36
24286,1
8744,12 36
22961,19
20140,2
1399,19
23708,16 38
20569,2
7730,0
23504,7
25792,0
7995,5 30
21646,27
20689,0
21674,12 27 28
486,30 33
20516,2
7861,0 36
12323,2
24087,1
3460,
22836,2 30
24411,1
351,
10899,1 42
24444,48
1721,0
21414,20
20245,0 2 12
13221,18
10253,2 30
24410,8
17422,27 28 43
4275,0
18589,3 37
20024,
11393,28
122,28 36
494,
15134,28 29
8177,12
22892,2 30
12678,18
4714,12 28
23945,0
19490,0 30
21056,19
6554,28
896,18
397,18
10630,
7526,12
12017,2 14
17576,0
22278,2
11203,0
22440,
21051,0 12
24053,0
25851,30
276,12
825,
23089,2
10608,19
8685,2 4
2734,28 29
18054,0 27
16946,2 16
23791,0
8908,18
4097,12
195,1 27
25552,1
12744,12 15
21238,
22016,29
20751,0 3
1152,28
24426,8
15438,19
24966,12 27
3916,0 2
22262,18
9607,0
25040,8 12
7796,0 2
11303,2 3 30 37
26133,30
17603,4 5
25826,4 27
7641,0
14468,12 23
22797,1 8 12
9696,
3943,1
7289,11
13338,16 38
25572,18
17073,12 42
2465,12
8510,12
23707,1 2
24467,36
25749,0 11
23461,
10147,5
26412,11 15
27029,42
14720,0 28
6022,2
15849,12 28
21813,27 28
25019,23
14140,12 28
23440,0
25115,19
20177,20
25964,12
22805,2 30
26298,40
13783,1 2
25811,2
19758,19
16053,
510,19
5157,0 2 30
24375,8 10
15515,0 2
16221,1 2
20827,2
22730,3 23 28
25205,19
15414,27
22569,3 37
23783,16 38
26466,27
588,0 2 4 27
21865,48
22011,28
21046,0 23
26037,27
26181,
10949,2 3
19369,2 30 36
21044,1
24933,0 11
20498,
24647,
22033,18
13676,2 4
2045,
18841,3
25089,18
11356,0 2
9116,19
14834,0
20595,2
20870,12 28
1055,19
4287,3
21681,28
2945,2 12 27
22489,0 28
8254,2
23879,2 4
21168,8 10
23441,0 2
26108,27
25106,28
11376,16
5233,0 30
3254,1
7597,28
24812,0 12
26469,11 27
578,3
23716,0
5653,1
23078,0 2 30
24952,8
23454,
16449,2
18438,27
21732,39
26142,
11482,3
16067,8 10 12
24824,0
26001,15 27
21589,20
902,28
19859,
7002,0
23074,3 30
23171,0
16465,
24548,19
26926,30
25483,1 12
26393,
1683,1 2
22460,8
26252,14 27
22354,1
25273,23
1071,15
26811,8
26907,7
26497,18
6390,4 5
8412,27
22670,1 15
10575,0 30
24913,14 27
17913,2
19134,18
26215,
3419,19
21294,12 29
20394,16
25980,27
21718,15 27
20422,8 10
19723,1
1064,4 30
15602,1 27
11690,0
9573,5
22224,19
4118,0 4
22432,9 10
22423,19
6775,0
8485,18
18522,3 8
25482,12 27
12240,14
25021,19
23380,
23589,2
520,27
4431,1 2
9032,2 4
19692,0
6670,18
25404,10
23976,1
22627,21
17620,18
23096,13 31
22009,28
11715,27
21196,12
24567,0 12
25197,19
2915,0
21890,28
4625,18
22825,0 2 30
26566,18
24101,0
12793,12 28
21363,
589,2
24805,12 27
9839,0
21062,12
602,2 3 36
25830,1 27 28
26824,16 33
20656,
17346,12 28 43
18191,11
24889,1 8
21905,20
10744,2 3 36
3761,14
23619,0
22400,
21074,6 28
24818,1 12
26694,12
24323,1 8 36
2989,12 28
21150,12 28
23829,0
23959,0
11734,11
7052,18
3120,31
22946,19
26530,11
22590,1 2
4874,0
22028,28
23191,0
26202,11
4865,30 38
14270,12
53,12
1239,27
10957,2
21313,12 28 36
4279,0
16347,12 27 28
15814,30 37
12797,2 4
24967,11
24642,18
26697,8 10
22720,0
5191,30
22641,14 27
10081,16
19928,3 30
16351,3 27 28 29
12619,0 15
17590,21
775,19
13498,12 43
17722,0
2472,12 28
8620,14
14807,0
16301,30
16607,12
17430,0 16
21642,12
10159,3 15
22913,21
22301,1 8
17535,0 2
10951,3
7790,19
20924,11 12
3690,12
572,0
19395,
24194,1 2 36
21755,19
21005,12 36 43
24530,19
17225,14
23930,2
23143,0 3 30
24020,0
22333,0 1
25863,
24129,2
14569,0 2 12
17488,0 28
3870,12
25470,12
10639,0
25129,12
3631,3
399,38
19923,3
5998,12 23 28
22791,
23690,16
8259,16
20732,28
17089,19
88,8
18925,28
13331,28
16920,21
22596,27
19391,1
14387,14 27
23247,0 2 30
13725,5 23
11601,2
26519,27
7472,1
26611,19
15287,0
21282,12
24046,7
8885,0 12 27
25254,18
24942,12 28 43
3413,0
21997,
6200,12
6644,3 13 31
10707,30
2866,26
22878,19
5873,
5626,1
20041,8
2510,16
20753,19
16796,11
26168,15 27 30
593,3 27
20784,1 36
12237,19
26282,27
342,0 28
18738,19
19717,19
25208,30
24920,27
24258,1
22103,18
24251,10
12802,12
23539,0 1
15964,2 12 30
21340,28
25127,0
17286,12 27
26089,27
9650,0
12310,16
21511,11
2303,12
25493,8
9635,0 1
540,19
20410,0
23377,
22327,0 2
16173,28
1248,0
10191,16 33
23778,2
26928,38
9440,1
21387,21
23301,2 4
26991,30
12219,0 2
23667,1
24266,12 27
26475,27
14437,20
6560,1 2 28 30
11764,2
11827,1
23509,2
9914,0
7468,2
21338,19
27027,16 33
20290,28
23251,0
22953,
26707,18
22655,27
11297,19
21055,12 36
26997,16
21298,19
22589,0
19858,0 27 30
22375,2
21186,18
21119,12
19909,12 44
5133,28
25590,27
14632,0 2
21592,20
2649,8
25385,12
26776,
24059,0
13919,
24745,0 28
26346,
9,1 2
25683,
25649,27
11111,0 30
6261,2 30 37
20488,3
26275,0 27
19419,12 28
18469,1
8548,3 12 30
6615,0 27 30
3440,2
18635,8 10 12
17594,28
24702,12
11854,8 10
21680,
25927,0
20948,2
9230,1
19703,0 3
9659,3 30
24887,
8040,28
12998,19
5064,3
24504,18
23602,2
22570,0
20069,28
13011,12
7229,4
20727,2
25999,27
1689,2
2640,12
14785,2 28 42
20884,19
11334,14
24917,11
25345,19
22152,45
25611,27
24992,12 28 43
24537,0 3 12 28
6748,3 30 37
11221,30
21689,19
23942,0
20094,0 35
20734,16
15156,0 35
17726,16
24909,19
12141,0
26753,22
4459,2
26605,1 2
13462,20
20432,1
24086,1
1251,21
16419,18
25601,11 15 40
18010,0 16 30
12520,
20675,
23762,0
4074,1 11 12 27
24620,8 10
23203,3 4 5
9996,12
20907,0
23177,16
14826,2
2365,18
5584,16 30
24473,8 10
14575,1 36
4393,12
17199,0
3796,36
23670,16
23501,2
18180,12
25588,27 28
26636,2 4
26673,19
17656,
5351,12
17125,23
9916,0
18031,11
21941,
19770,19
24959,27 40
6965,2
11629,1
1422,0
23016,
18339,
23197,30
16266,28
6827,0 1
25774,2
24462,
3065,3
22584,2
26098,11
23194,19
23883,3
23856,0
21582,0 12
12151,27
26970,
4094,44
763,0 27
2263,0
4712,18
5487,12 27
5593,2 3 36
3479,1 12
9776,
1813,0
23580,0 2
9922,18
434,0 12
4812,3
13005,0 14
24944,20
6769,2
17589,12 27
25160,20
18479,15 27
23328,2
25852,27
13158,36
9128,3
326,0 14 30
20969,19 20
22839,16
23386,1
24559,12
24678,12
5457,2 4
23845,0 27
23517,0
23215,2 3
23889,1
15093,19
4376,1 36
11833,19
25384,19
26522,11
5585,0
24616,23
1418,
18953,2
2285,
22200,42
182,16
23305,0
16959,27 40 43
25930,27
10392,1 2
8957,1 12 30
21892,20
22256,10
23354,2
26343,11
20633,48
25988,27
24834,12
49,40
24557,12
22833,0
15806,0 2 4
24536,1 12
23005,2 3
6470,12 36
22216,1 2
26451,27
370,12
20936,3
16517,28
17869,0
1407,16 44
25010,12
23732,3
11742,15
21585,30
437,2 4 30
7864,12
20610,3
22082,44
652,1 27 30
23176,1
21986,18
22036,28
25735,14
13550,14 27 31
21925,28
23410,
15784,3
5524,12
22344,0
11043,0 30
15442,8 28
21185,28
17771,2
5076,
21441,16
12231,2 30
22205,20
11706,28
19293,2 3
4546,1
20643,28
426,0
8324,12 28
24837,12 36
24178,2
21016,18
23324,16
9385,12
7370,4
19607,1
2298,6
22794,21
11566,0 2 30 37
21362,19 20
24436,
5844,
21214,
17432,30
26893,11
975,31
5050,0 36
24278,1
21406,42
23062,0 30
22355,1 28 36
8107,
6038,
21073,2
21444,0 12 27
21170,12
20466,0
24003,1
15284,2
21806,28
21178,18
17619,18
21200,
14639,12
15175,1
23818,0
24246,0 36
16883,28
24760,1 48
26855,
2489,12 28 48
13910,19
18499,19 20
20285,0 14 16 31
24385,
2535,
493,
89,2 12
23019,
12258,2
22199,16 28 36
26079,27
17893,
14039,19
4965,27 40
24581,12 28 29
2004,0 28 36
3107,1
16690,1
592,2
26888,10
24875,8
22269,0 2
20770,19
17471,1 27
1952,0
20499,8 36
14374,20
26666,12
25700,1
23786,0 12
26066,27
16134,1 12
22873,14
14477,16 33
3741,14 31
20898,42
8749,19
26405,27
10839,1 2
24144,1
21947,
23443,0 2
16891,
39,3 8 10
6483,3 29
16457,0 28 36
20461,0
16625,18 19
21438,12 27
23920,16
12809,3
21141,28
26573,18 43
13414,19
25390,12
25839,19
5615,0
24138,21
26918,26
12348,
3666,20
26711,11
26800,19
6108,28
15172,20
21571,11
11021,12
20912,12 28
13534,2
12167,12
19760,23
5284,19
8719,12 30
23277,3
25904,0
22647,2
10709,3 16
26986,30 36
20979,21
25211,48
3223,1 2
20489,16 33
21661,12 27
20670,20
4838,7
21429,19 20
22610,0 2
2748,18
26651,28
25794,14 27
284,1 2 8
3386,27
10900,37
